0000000000001|01|35119856,2|10000
0000000000002|02|89498184,2
0000000000003|01|159848748,5|20000
0000000000004|02|9848948,1
0000000000005|01|4849648,5|30000
0000000000006|02|89498841,6
0000000000007|01|689454854,5|40000
0000000000008|02|2313588,6
0000000000009|01|48648585,3|50000
0000000000010|02|3564984,5
0000000000011|01|19835156,2|10000
0000000000012|02|989484,2
0000000000013|01|8948748,5|20000
0000000000014|02|8948,1
0000000000015|01|9648,5|30000
0000000000016|02|8841,6
0000000000017|01|454854,5|40000
0000000000018|02|23138,6
0000000000019|01|48685,3|50000
0000000000020|02|3584,5
